,CUSTOMER_ID,CHURN_PROBABILITY,ORIGINAL_CHURN_LABEL,PREDICTED_CHURN_LABEL
0,C100000,1.0,STAY,STAY
1,C100001,1.0,STAY,STAY
2,C100006,1.0,LEAVE,STAY
3,C100008,1.0,LEAVE,LEAVE
4,C100010,1.0,STAY,LEAVE
5,C100011,1.0,LEAVE,LEAVE
6,C100012,1.0,LEAVE,LEAVE
7,C100013,1.0,LEAVE,LEAVE
8,C100014,1.0,STAY,STAY
9,C100015,1.0,LEAVE,LEAVE
10,C100016,1.0,STAY,LEAVE
11,C100017,1.0,STAY,LEAVE
12,C100018,1.0,LEAVE,LEAVE
13,C100020,1.0,STAY,STAY
14,C100021,1.0,LEAVE,LEAVE
15,C100022,1.0,STAY,STAY
16,C100023,1.0,LEAVE,LEAVE
17,C100024,1.0,LEAVE,LEAVE
18,C100025,1.0,STAY,STAY
19,C100026,1.0,LEAVE,LEAVE
20,C100027,1.0,LEAVE,LEAVE
21,C100028,1.0,STAY,STAY
22,C100029,1.0,LEAVE,LEAVE
23,C100030,1.0,LEAVE,LEAVE
24,C100031,1.0,STAY,STAY
25,C100036,1.0,LEAVE,LEAVE
26,C100037,1.0,LEAVE,LEAVE
27,C100038,1.0,STAY,STAY
28,C100041,1.0,LEAVE,STAY
29,C100043,1.0,STAY,LEAVE
30,C100044,1.0,STAY,STAY
31,C100045,1.0,LEAVE,STAY
32,C100048,1.0,LEAVE,LEAVE
33,C100050,1.0,LEAVE,LEAVE
34,C100051,1.0,LEAVE,LEAVE
35,C100053,1.0,STAY,STAY
36,C100056,1.0,STAY,STAY
37,C100058,1.0,LEAVE,LEAVE
38,C100059,1.0,STAY,LEAVE
39,C100060,1.0,LEAVE,LEAVE
40,C100063,1.0,STAY,STAY
41,C100064,1.0,LEAVE,LEAVE
42,C100065,1.0,LEAVE,LEAVE
43,C100067,1.0,STAY,LEAVE
44,C100068,1.0,STAY,STAY
45,C100070,1.0,LEAVE,LEAVE
46,C100071,1.0,STAY,STAY
47,C100073,1.0,STAY,STAY
48,C100074,1.0,LEAVE,LEAVE
49,C100075,1.0,STAY,LEAVE
50,C100077,1.0,STAY,STAY
51,C100078,1.0,LEAVE,LEAVE
52,C100079,1.0,LEAVE,LEAVE
53,C100080,1.0,STAY,LEAVE
54,C100081,1.0,STAY,LEAVE
55,C100082,1.0,LEAVE,STAY
56,C100083,1.0,LEAVE,LEAVE
57,C100084,1.0,LEAVE,LEAVE
58,C100086,1.0,LEAVE,STAY
59,C100087,1.0,STAY,LEAVE
60,C100088,1.0,STAY,LEAVE
61,C100090,1.0,STAY,STAY
62,C100091,1.0,LEAVE,LEAVE
63,C100092,1.0,LEAVE,LEAVE
64,C100093,1.0,STAY,STAY
65,C100094,1.0,STAY,STAY
66,C100097,1.0,STAY,LEAVE
67,C100098,1.0,STAY,STAY
68,C100099,1.0,LEAVE,STAY
69,C100102,1.0,LEAVE,LEAVE
70,C100103,1.0,LEAVE,LEAVE
71,C100104,1.0,LEAVE,STAY
72,C100105,1.0,STAY,STAY
73,C100106,1.0,LEAVE,STAY
74,C100109,1.0,LEAVE,STAY
75,C100110,1.0,LEAVE,LEAVE
76,C100111,1.0,STAY,LEAVE
77,C100112,1.0,LEAVE,LEAVE
78,C100114,1.0,STAY,STAY
79,C100117,1.0,LEAVE,STAY
80,C100119,1.0,STAY,STAY
81,C100120,1.0,LEAVE,LEAVE
82,C100121,1.0,LEAVE,LEAVE
83,C100122,1.0,STAY,LEAVE
84,C100123,1.0,LEAVE,LEAVE
85,C100125,1.0,LEAVE,LEAVE
86,C100126,1.0,LEAVE,STAY
87,C100127,1.0,STAY,STAY
88,C100128,1.0,LEAVE,LEAVE
89,C100129,1.0,STAY,STAY
90,C100130,1.0,LEAVE,LEAVE
91,C100131,1.0,LEAVE,LEAVE
92,C100132,1.0,STAY,LEAVE
93,C100133,1.0,LEAVE,LEAVE
94,C100136,1.0,STAY,STAY
95,C100137,1.0,LEAVE,LEAVE
96,C100138,1.0,STAY,LEAVE
97,C100139,1.0,STAY,LEAVE
98,C100141,1.0,STAY,STAY
99,C100143,1.0,LEAVE,STAY
100,C100144,1.0,STAY,LEAVE
101,C100145,1.0,STAY,STAY
102,C100147,1.0,LEAVE,LEAVE
103,C100148,1.0,LEAVE,LEAVE
104,C100149,1.0,LEAVE,LEAVE
105,C100150,1.0,STAY,STAY
106,C100151,1.0,LEAVE,LEAVE
107,C100152,1.0,LEAVE,LEAVE
108,C100153,1.0,STAY,LEAVE
109,C100154,1.0,LEAVE,LEAVE
110,C100155,1.0,STAY,STAY
111,C100156,1.0,STAY,STAY
112,C100157,1.0,LEAVE,LEAVE
113,C100159,1.0,LEAVE,STAY
114,C100160,1.0,STAY,LEAVE
115,C100163,1.0,STAY,LEAVE
116,C100164,1.0,STAY,LEAVE
117,C100165,1.0,LEAVE,LEAVE
118,C100166,1.0,LEAVE,STAY
119,C100169,1.0,STAY,STAY
120,C100171,1.0,LEAVE,LEAVE
121,C100172,1.0,LEAVE,LEAVE
122,C100175,1.0,LEAVE,LEAVE
123,C100176,1.0,LEAVE,STAY
124,C100178,1.0,LEAVE,LEAVE
125,C100180,1.0,LEAVE,LEAVE
126,C100181,1.0,LEAVE,LEAVE
127,C100182,1.0,STAY,STAY
